rank;artistId;artistsName;trackTitle;track_id;;;;;;;;;;;;;;
311;9803628;VESNA305;Глупая девочка;91368436;;;;;;;;;;;;;;
312;170642\v3084440\v781708;INNA, Arem Ozguc, Arman Aydin;UP;102801053;;;;;;;;;;;;;;
313;1413836;speed up;softcore;107659919;;;;;;;;;;;;;;
314;8616012\v15618739;Junona Boys, RYA;I Follow;85400405;;;;;;;;;;;;;;
315;5570457;Бабек Мамедрзаев;Принцесса;52326283;;;;;;;;;;;;;;
316;5007577\v11872827;Zivert, LYRIQ;Forever Young;92079772;;;;;;;;;;;;;;
317;8424125;Йович;Танцуй танцы;103129990;;;;;;;;;;;;;;
318;2190095;Alex Menco;Something;97481271;;;;;;;;;;;;;;
319;1636897;MOT;По душам;104013430;;;;;;;;;;;;;;
320;5821649;Ava Max;Kings & Queens;63503569;;;;;;;;;;;;;;
321;6467364;NЮ;Я надеюсь;78879876;;;;;;;;;;;;;;
322;666984;Artik & Asti;Последний поцелуй;62352384;;;;;;;;;;;;;;
